20200301 00:43:05.769	[Begin Processing]-------
20200301 00:43:05.775	Processing: 0
20200301 00:43:06.281	Done:0
20200301 00:43:06.287	Processing: 1
20200301 00:43:06.792	Done:1
20200301 00:43:06.797	Processing: 2
20200301 00:43:07.302	Done:2
20200301 00:43:07.308	Processing: 3
20200301 00:43:07.813	Done:3
20200301 00:43:07.817	Processing: 4
20200301 00:43:08.322	Done:4
20200301 00:43:08.327	Processing: 5
20200301 00:43:08.831	Done:5
20200301 00:43:08.835	Processing: 6
20200301 00:43:09.340	Done:6
20200301 00:43:09.345	Processing: 7
20200301 00:43:09.852	Done:7
20200301 00:43:09.858	Processing: 8
20200301 00:43:10.362	Done:8
20200301 00:43:10.367	Processing: 9
20200301 00:43:10.872	Done:9
20200301 00:43:10.877	[End Processing]---------
